Titles,Thumbnail
"Sarah C. M. Paine - WW2, Taiwan, Ukraine, & Maritime vs Continental Powers",SARAH PAINE FULL EPISODE
"David Reich – How One Small Tribe Conquered the World 70,000 Years Ago",LAST HUMANS STANDING
"Mark Zuckerberg - Llama 3, $10B Models, Caesar Augustus, & 1 GW Datacenters",META'S $10B GAMBLE
"Ilya Sutskever (OpenAI Chief Scientist) - Building AGI, Alignment, Spies, Microsoft, & Enlightenment",BUILDING AGI
"Grant Sanderson ( @3blue1brown ) - Past, Present, & Future of Mathematics",FUTURE OF MATH
Daniel Yergin – Oil Explains the Entire 20th Century,WHY HITLER LOST
"Leopold Aschenbrenner - 2027 AGI, China/US Super-Intelligence Race, & The Return of History",SITUATIONAL AWARENESS
"Dario Amodei (Anthropic CEO) - $10 Billion Models, OpenAI, Scaling, & Alignment",FUTURE OF AGI
 @Asianometry  & Dylan Patel – How the Semiconductor Industry Actually Works,RACE TO $1T CLUSTER
"Richard Rhodes - Oppenheimer, Spies, AI, & Armageddon",MAKING THE ATOMIC BOMB
"Demis Hassabis – Scaling, Superhuman AIs, AlphaZero atop LLMs, AlphaFold",AGI THIS DECADE
Sholto Douglas & Trenton Bricken - How to Build & Understand GPT-7's Mind,FEEL THE AGI
